منابع عمومی دولت-درآمد ها-درآمد های حاصل از فروش کالاها و خدمات--?,479314529
منابع عمومی دولت-درآمد ها-درآمد های حاصل از جرایم و خسارات,76856000
منابع عمومی دولت-درآمد ها-درآمدهای متفرقه,381733001
منابع عمومی دولت-واگذاری دارایی های سرمایه ای-منابع حاصل از نفت وفرآورده های نفتی,1010114405
منابع عمومی دولت-واگذاری دارایی های سرمایه ای-منابع حاصل از فروش و واگذاری اموال منقول و غیر منقول,18340000
منابع عمومی دولت-واگذاری دارایی های سرمایه ای-منابع حاصل از واگذاری طرح های تملک دارایی های سرمایه ای,40000000
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از فروش و واگذاری انواع اوراق مالی اسلامی,385000001
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از استفاده از تسهیلات خارجی,3550000
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از استفاده از موجودی حساب ذخیره ارزی,0
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از دریافت اصل وامها,12414424
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از واگذاری شرکتهای دولتی,61500000
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از برگشتی پرداختهای سالهای قبل,4686498
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از استفاده از صندوق توسعه ملی,210200000
منابع عمومی دولت-واگذاری دارایی های مالی-منابع حاصل از سایر واگذاری ها,3500000
درآمد های اختصاصی دولت,568620891
منابع بودجه عمومی دولت,4249110891
منابع شرکت های دولتی، موسسات انتفاعی وابسته به دولت و بانکها,8139871491
